Nombre_archivo;Namespace;begin_line;end_line;yield_line;
.misc\adjust_version_number.py;None;None;None;None;
.misc\check_setuptools.py;None;None;None;None;
.misc\store_env_in_registry.py;None;None;None;None;
coalib\bearlib\abstractions\__init__.py;None;None;None;None;
coalib\bearlib\abstractions\ExternalBearWrap.py;parse_output;147;176;170; 
coalib\bearlib\abstractions\Linter.py;process_diff;353;387;382; 
coalib\bearlib\abstractions\Linter.py;process_output_regex;463;527;525;
coalib\bearlib\abstractions\Linter.py;process_output;578;602;601;
coalib\bearlib\abstractions\Linter.py;_create_config;606;630;624, 630;
coalib\bearlib\abstractions\LinterClass.py;None;None;None;None; 
coalib\bearlib\abstractions\SectionCreatable.py;None;None;None;None; 
coalib\bearlib\aspects\__init__.py;None;None;None;None;
coalib\bearlib\aspects\base.py;None;None;None;None;
coalib\bearlib\aspects\collections.py;None;None;None;None; 
coalib\bearlib\aspects\decorators.py;None;None;None;None;
coalib\bearlib\aspects\docs.py;None;None;None;None;
coalib\bearlib\aspects\exceptions.py;None;None;None;None;
coalib\bearlib\aspects\Formatting.py;None;None;None;None;
coalib\bearlib\aspects\meta.py;None;None;None;None;
coalib\bearlib\aspects\Metadata.py;None;None;None;None;
coalib\bearlib\aspects\Redundancy.py;None;None;None;None;
coalib\bearlib\aspects\root.py;None;None;None;None;
coalib\bearlib\aspects\Security.py;None;None;None;None;
coalib\bearlib\aspects\Smell.py;None;None;None;None;
coalib\bearlib\aspects\Spelling.py;None;None;None;None;
coalib\bearlib\aspects\taste.py;None;None;None;None;
coalib\bearlib\languages\definitions\__init__.py;None;None;None;None;
coalib\bearlib\languages\definitions\antlr.py;None;None;None;None;
coalib\bearlib\languages\definitions\Bash.py;None;None;None;None;
coalib\bearlib\languages\definitions\C.py;None;None;None;None;
coalib\bearlib\languages\definitions\CPP.py;None;None;None;None;
coalib\bearlib\languages\definitions\CSharp.py;None;None;None;None;
coalib\bearlib\languages\definitions\CSS.py;None;None;None;None;
coalib\bearlib\languages\definitions\D.py;None;None;None;None;
coalib\bearlib\languages\definitions\Dart.py;None;None;None;None;
coalib\bearlib\languages\definitions\DOT.py;None;None;None;None;
coalib\bearlib\languages\definitions\Fortran.py;None;None;None;None;
coalib\bearlib\languages\definitions\Golang.py;None;None;None;None;
coalib\bearlib\languages\definitions\GraphQL.py;None;None;None;None;
coalib\bearlib\languages\definitions\Haskell.py;None;None;None;None;
coalib\bearlib\languages\definitions\html.py;None;None;None;None;
coalib\bearlib\languages\definitions\Java.py;None;None;None;None;
coalib\bearlib\languages\definitions\JavaScript.py;None;None;None;None;
coalib\bearlib\languages\definitions\Jinja2.py;None;None;None;None;
