Nombre_archivo;Namespace;begin_line;end_line;yield_line;
monkeytype\tracing.py;trace_calls;270;283;283;
tracing.py;trace_calls;270;283;280;
monkeytype\encoding.py;serialize_traces;240;251;249;
tests\test_cli.py;cli_context;66;69;68;
tests\test_cli.py;store_data;73;78;78; 
tests\test_cli.py;store;82;84;84; 
tests\test_cli.py;db_file;88;90;90;
tests\test_typing.py;generator;500;501;501;
tests\test_tracing.py;squares;120;122;122;
setup.py;long_desc;11;17;17; 
monkeytype\config.py;cli_context;46;53;53; 
 ; ; ;  ; ;
 ; ; ; ;  ;
 ; ; ; ; ; 
 ; ; ; ;  ;
 ; ; ; ; ;
 ; ; ; ; ;
