node_id,path,class_name,line_number,end_line_number,col_offset,end_col_offset
0,tests/folder\pruebas.py,Module,None,None,None,None
1,tests/folder\pruebas.py,ClassDef,4,16,0,24
2,tests/folder\pruebas.py,ClassDef,5,10,4,24
3,tests/folder\pruebas.py,FunctionDef,6,10,8,24
4,tests/folder\pruebas.py,arguments,6,10,None,None
5,tests/folder\pruebas.py,arg,6,6,19,23
6,tests/folder\pruebas.py,arg,6,6,25,26
7,tests/folder\pruebas.py,Assign,7,7,12,19
8,tests/folder\pruebas.py,Name,7,7,12,15
9,tests/folder\pruebas.py,Store,7,7,None,None
10,tests/folder\pruebas.py,Constant,7,7,18,19
11,tests/folder\pruebas.py,While,8,10,12,24
12,tests/folder\pruebas.py,Compare,8,8,18,25
13,tests/folder\pruebas.py,Name,8,8,18,21
14,tests/folder\pruebas.py,Load,8,8,None,None
15,tests/folder\pruebas.py,Lt,8,8,None,None
16,tests/folder\pruebas.py,Name,8,8,24,25
17,tests/folder\pruebas.py,Load,8,8,None,None
18,tests/folder\pruebas.py,Expr,9,9,16,25
19,tests/folder\pruebas.py,Yield,9,9,16,25
20,tests/folder\pruebas.py,Name,9,9,22,25
21,tests/folder\pruebas.py,Load,9,9,None,None
22,tests/folder\pruebas.py,AugAssign,10,10,16,24
23,tests/folder\pruebas.py,Name,10,10,16,19
24,tests/folder\pruebas.py,Store,10,10,None,None
25,tests/folder\pruebas.py,Add,10,10,None,None
26,tests/folder\pruebas.py,Constant,10,10,23,24
27,tests/folder\pruebas.py,ClassDef,11,16,4,24
28,tests/folder\pruebas.py,FunctionDef,12,16,8,24
29,tests/folder\pruebas.py,arguments,12,16,None,None
30,tests/folder\pruebas.py,arg,12,12,19,23
31,tests/folder\pruebas.py,arg,12,12,25,26
32,tests/folder\pruebas.py,Assign,13,13,12,19
33,tests/folder\pruebas.py,Name,13,13,12,15
34,tests/folder\pruebas.py,Store,13,13,None,None
35,tests/folder\pruebas.py,Constant,13,13,18,19
36,tests/folder\pruebas.py,While,14,16,12,24
37,tests/folder\pruebas.py,Compare,14,14,18,25
38,tests/folder\pruebas.py,Name,14,14,18,21
39,tests/folder\pruebas.py,Load,14,14,None,None
40,tests/folder\pruebas.py,Lt,14,14,None,None
41,tests/folder\pruebas.py,Name,14,14,24,25
42,tests/folder\pruebas.py,Load,14,14,None,None
43,tests/folder\pruebas.py,Expr,15,15,16,25
44,tests/folder\pruebas.py,Yield,15,15,16,25
45,tests/folder\pruebas.py,Name,15,15,22,25
46,tests/folder\pruebas.py,Load,15,15,None,None
47,tests/folder\pruebas.py,AugAssign,16,16,16,24
48,tests/folder\pruebas.py,Name,16,16,16,19
49,tests/folder\pruebas.py,Store,16,16,None,None
50,tests/folder\pruebas.py,Add,16,16,None,None
51,tests/folder\pruebas.py,Constant,16,16,23,24
52,tests/folder\pruebas.py,ClassDef,18,24,0,24
53,tests/folder\pruebas.py,ClassDef,19,24,4,24
54,tests/folder\pruebas.py,FunctionDef,20,24,8,24
55,tests/folder\pruebas.py,arguments,20,24,None,None
56,tests/folder\pruebas.py,arg,20,20,19,23
57,tests/folder\pruebas.py,arg,20,20,25,26
58,tests/folder\pruebas.py,Assign,21,21,12,22
59,tests/folder\pruebas.py,Name,21,21,12,15
60,tests/folder\pruebas.py,Store,21,21,None,None
61,tests/folder\pruebas.py,BinOp,21,21,18,22
62,tests/folder\pruebas.py,Name,21,21,18,19
63,tests/folder\pruebas.py,Load,21,21,None,None
64,tests/folder\pruebas.py,Pow,21,21,None,None
65,tests/folder\pruebas.py,Constant,21,21,21,22
66,tests/folder\pruebas.py,While,22,24,12,24
67,tests/folder\pruebas.py,Compare,22,22,18,25
68,tests/folder\pruebas.py,Name,22,22,18,21
69,tests/folder\pruebas.py,Load,22,22,None,None
70,tests/folder\pruebas.py,Gt,22,22,None,None
71,tests/folder\pruebas.py,Name,22,22,24,25
72,tests/folder\pruebas.py,Load,22,22,None,None
73,tests/folder\pruebas.py,Expr,23,23,16,25
74,tests/folder\pruebas.py,Yield,23,23,16,25
75,tests/folder\pruebas.py,Name,23,23,22,25
76,tests/folder\pruebas.py,Load,23,23,None,None
77,tests/folder\pruebas.py,AugAssign,24,24,16,24
78,tests/folder\pruebas.py,Name,24,24,16,19
79,tests/folder\pruebas.py,Store,24,24,None,None
80,tests/folder\pruebas.py,Sub,24,24,None,None
81,tests/folder\pruebas.py,Constant,24,24,23,24
82,tests/folder\pruebas.py,FunctionDef,27,35,0,28
83,tests/folder\pruebas.py,arguments,27,35,None,None
84,tests/folder\pruebas.py,FunctionDef,28,35,4,28
85,tests/folder\pruebas.py,arguments,28,35,None,None
86,tests/folder\pruebas.py,FunctionDef,29,35,8,28
87,tests/folder\pruebas.py,arguments,29,35,None,None
88,tests/folder\pruebas.py,arg,29,29,17,18
89,tests/folder\pruebas.py,Assign,32,32,16,23
90,tests/folder\pruebas.py,Name,32,32,16,19
91,tests/folder\pruebas.py,Store,32,32,None,None
92,tests/folder\pruebas.py,Constant,32,32,22,23
93,tests/folder\pruebas.py,While,33,35,16,28
94,tests/folder\pruebas.py,Compare,33,33,22,29
95,tests/folder\pruebas.py,Name,33,33,22,25
96,tests/folder\pruebas.py,Load,33,33,None,None
97,tests/folder\pruebas.py,Lt,33,33,None,None
98,tests/folder\pruebas.py,Name,33,33,28,29
99,tests/folder\pruebas.py,Load,33,33,None,None
100,tests/folder\pruebas.py,Expr,34,34,20,29
101,tests/folder\pruebas.py,Yield,34,34,20,29
102,tests/folder\pruebas.py,Name,34,34,26,29
103,tests/folder\pruebas.py,Load,34,34,None,None
104,tests/folder\pruebas.py,AugAssign,35,35,20,28
105,tests/folder\pruebas.py,Name,35,35,20,23
106,tests/folder\pruebas.py,Store,35,35,None,None
107,tests/folder\pruebas.py,Add,35,35,None,None
108,tests/folder\pruebas.py,Constant,35,35,27,28
109,tests/folder\pruebas.py,FunctionDef,37,38,0,16
110,tests/folder\pruebas.py,arguments,37,38,None,None
111,tests/folder\pruebas.py,Expr,38,38,4,16
112,tests/folder\pruebas.py,Yield,38,38,4,16
113,tests/folder\pruebas.py,Constant,38,38,10,16
114,tests/folder\pruebas.py,Expr,41,41,0,17
115,tests/folder\pruebas.py,Call,41,41,0,17
116,tests/folder\pruebas.py,Name,41,41,0,4
117,tests/folder\pruebas.py,Load,41,41,None,None
118,tests/folder\pruebas.py,Call,41,41,5,16
119,tests/folder\pruebas.py,Name,41,41,5,14
120,tests/folder\pruebas.py,Load,41,41,None,None
121,tests/folder\pruebas.py,Assign,43,43,0,15
122,tests/folder\pruebas.py,Name,43,43,0,1
123,tests/folder\pruebas.py,Store,43,43,None,None
124,tests/folder\pruebas.py,Call,43,43,4,15
125,tests/folder\pruebas.py,Name,43,43,4,13
126,tests/folder\pruebas.py,Load,43,43,None,None
127,tests/folder\pruebas.py,Expr,44,44,0,7
128,tests/folder\pruebas.py,Call,44,44,0,7
129,tests/folder\pruebas.py,Name,44,44,0,4
130,tests/folder\pruebas.py,Load,44,44,None,None
131,tests/folder\pruebas.py,Name,44,44,5,6
132,tests/folder\pruebas.py,Load,44,44,None,None
133,tests/folder\pruebas.py,Expr,49,49,0,37
134,tests/folder\pruebas.py,Call,49,49,0,37
135,tests/folder\pruebas.py,Name,49,49,0,4
136,tests/folder\pruebas.py,Load,49,49,None,None
137,tests/folder\pruebas.py,Call,49,49,5,36
138,tests/folder\pruebas.py,Attribute,49,49,5,33
139,tests/folder\pruebas.py,Call,49,49,5,26
140,tests/folder\pruebas.py,Attribute,49,49,5,24
141,tests/folder\pruebas.py,Call,49,49,5,15
142,tests/folder\pruebas.py,Name,49,49,5,13
143,tests/folder\pruebas.py,Load,49,49,None,None
144,tests/folder\pruebas.py,Load,49,49,None,None
145,tests/folder\pruebas.py,Load,49,49,None,None
146,tests/folder\pruebas.py,Constant,49,49,34,35
147,tests/folder\pruebas.py,Assign,54,54,0,29
148,tests/folder\pruebas.py,Name,54,54,0,5
149,tests/folder\pruebas.py,Store,54,54,None,None
150,tests/folder\pruebas.py,Call,54,54,8,29
151,tests/folder\pruebas.py,Attribute,54,54,8,27
152,tests/folder\pruebas.py,Call,54,54,8,18
153,tests/folder\pruebas.py,Name,54,54,8,16
154,tests/folder\pruebas.py,Load,54,54,None,None
155,tests/folder\pruebas.py,Load,54,54,None,None
156,tests/folder\pruebas.py,Expr,56,56,0,21
157,tests/folder\pruebas.py,Call,56,56,0,21
158,tests/folder\pruebas.py,Name,56,56,0,4
159,tests/folder\pruebas.py,Load,56,56,None,None
160,tests/folder\pruebas.py,Call,56,56,5,20
161,tests/folder\pruebas.py,Attribute,56,56,5,17
162,tests/folder\pruebas.py,Name,56,56,5,10
163,tests/folder\pruebas.py,Load,56,56,None,None
164,tests/folder\pruebas.py,Load,56,56,None,None
165,tests/folder\pruebas.py,Constant,56,56,18,19
166,tests/folder\pruebas.py,Assign,60,60,0,29
167,tests/folder\pruebas.py,Name,60,60,0,5
168,tests/folder\pruebas.py,Store,60,60,None,None
169,tests/folder\pruebas.py,Call,60,60,8,29
170,tests/folder\pruebas.py,Attribute,60,60,8,27
171,tests/folder\pruebas.py,Call,60,60,8,18
172,tests/folder\pruebas.py,Name,60,60,8,16
173,tests/folder\pruebas.py,Load,60,60,None,None
174,tests/folder\pruebas.py,Load,60,60,None,None
175,tests/folder\pruebas.py,Assign,62,62,0,27
176,tests/folder\pruebas.py,Name,62,62,0,9
177,tests/folder\pruebas.py,Store,62,62,None,None
178,tests/folder\pruebas.py,Call,62,62,12,27
179,tests/folder\pruebas.py,Attribute,62,62,12,24
180,tests/folder\pruebas.py,Name,62,62,12,17
181,tests/folder\pruebas.py,Load,62,62,None,None
182,tests/folder\pruebas.py,Load,62,62,None,None
183,tests/folder\pruebas.py,Constant,62,62,25,26
184,tests/folder\pruebas.py,Expr,64,64,0,15
185,tests/folder\pruebas.py,Call,64,64,0,15
186,tests/folder\pruebas.py,Name,64,64,0,4
187,tests/folder\pruebas.py,Load,64,64,None,None
188,tests/folder\pruebas.py,Name,64,64,5,14
189,tests/folder\pruebas.py,Load,64,64,None,None
190,tests/folder\pruebas.py,Assign,68,68,0,43
191,tests/folder\pruebas.py,Name,68,68,0,9
192,tests/folder\pruebas.py,Store,68,68,None,None
193,tests/folder\pruebas.py,Call,68,68,12,43
194,tests/folder\pruebas.py,Attribute,68,68,12,40
195,tests/folder\pruebas.py,Call,68,68,12,33
196,tests/folder\pruebas.py,Attribute,68,68,12,31
197,tests/folder\pruebas.py,Call,68,68,12,22
198,tests/folder\pruebas.py,Name,68,68,12,20
199,tests/folder\pruebas.py,Load,68,68,None,None
200,tests/folder\pruebas.py,Load,68,68,None,None
201,tests/folder\pruebas.py,Load,68,68,None,None
202,tests/folder\pruebas.py,Constant,68,68,41,42
203,tests/folder\pruebas.py,Expr,70,70,0,15
204,tests/folder\pruebas.py,Call,70,70,0,15
205,tests/folder\pruebas.py,Name,70,70,0,4
206,tests/folder\pruebas.py,Load,70,70,None,None
207,tests/folder\pruebas.py,Name,70,70,5,14
208,tests/folder\pruebas.py,Load,70,70,None,None
209,tests/folder\pruebas.py,Assign,75,75,0,29
