node_id,class_name,parent_id,Generator
124148,100,-1,0
124149,17,124148,0
124150,0,124149,0
124151,65,124148,0
124152,12,124151,0
124153,14,124152,0
124154,0,124151,0
124155,65,124148,0
124156,12,124155,0
124157,14,124156,0
124158,9,124155,0
124159,0,124158,0
124160,0,124158,0
124161,0,124158,0
124162,0,124158,0
124163,0,124158,0
124164,0,124158,0
124165,0,124158,0
124166,9,124158,0
124167,0,124166,0
124168,0,124166,0
124169,0,124166,0
124170,0,124166,0
124171,0,124166,0
124172,0,124166,0
124173,0,124166,0
124174,0,124166,0
124175,0,124166,0
124176,0,124166,0
124177,12,124166,0
124178,13,124177,0
124179,0,124166,0
124180,0,124166,0
124181,6,124166,0
124182,0,124181,0
124183,0,124181,0
124184,0,124181,0
124185,0,124181,0
124186,0,124181,0
124187,0,124181,0
124188,0,124181,0
124189,13,124181,0
124190,0,124166,0
124191,0,124166,0
124192,9,124158,0
124193,0,124192,0
124194,0,124192,0
124195,0,124192,0
124196,0,124192,0
124197,0,124192,0
124198,0,124192,0
124199,0,124192,0
124200,0,124192,0
124201,0,124192,0
124202,0,124192,0
124203,0,124192,0
124204,12,124192,0
124205,13,124204,0
124206,0,124192,0
124207,0,124192,0
124208,6,124192,0
124209,13,124208,0
124210,0,124192,0
124211,0,124192,0
124212,0,124192,0
124213,9,124158,0
124214,0,124213,0
124215,0,124213,0
124216,0,124213,0
124217,0,124213,0
124218,0,124213,0
124219,0,124213,0
124220,0,124213,0
124221,0,124213,0
124222,0,124213,0
124223,0,124213,0
124224,0,124213,0
124225,12,124213,0
124226,13,124225,0
124227,0,124213,0
124228,0,124213,0
124229,6,124213,0
124230,13,124229,0
124231,0,124213,0
124232,0,124213,0
124233,0,124213,0
124234,9,124158,0
124235,0,124234,0
124236,0,124234,0
124237,0,124234,0
124238,0,124234,0
124239,0,124234,0
124240,0,124234,0
124241,0,124234,0
124242,0,124234,0
124243,0,124234,0
124244,0,124234,0
124245,0,124234,0
124246,12,124234,0
124247,13,124246,0
124248,0,124234,0
124249,0,124234,0
124250,6,124234,0
124251,13,124250,0
124252,0,124234,0
124253,0,124234,0
124254,0,124234,0
124255,9,124158,0
124256,0,124255,0
124257,0,124255,0
124258,0,124255,0
124259,0,124255,0
124260,0,124255,0
124261,0,124255,0
124262,0,124255,0
124263,0,124255,0
124264,0,124255,0
124265,0,124255,0
124266,0,124255,0
124267,12,124255,0
124268,13,124267,0
124269,0,124255,0
124270,7,124255,0
124271,0,124270,0
124272,0,124270,0
124273,13,124270,0
124274,6,124255,0
124275,13,124274,0
124276,0,124255,0
124277,0,124255,0
124278,0,124255,0
124279,9,124158,0
124280,0,124279,0
124281,0,124279,0
124282,0,124279,0
124283,0,124279,0
124284,0,124279,0
124285,0,124279,0
124286,0,124279,0
124287,0,124279,0
124288,0,124279,0
124289,0,124279,0
124290,0,124279,0
124291,12,124279,0
124292,13,124291,0
124293,0,124279,0
124294,7,124279,0
124295,0,124294,0
124296,0,124294,0
124297,13,124294,0
124298,6,124279,0
124299,13,124298,0
124300,0,124279,0
124301,0,124279,0
124302,0,124279,0
124303,9,124158,0
124304,0,124303,0
124305,0,124303,0
124306,0,124303,0
124307,0,124303,0
124308,0,124303,0
124309,0,124303,0
124310,0,124303,0
124311,0,124303,0
124312,0,124303,0
124313,0,124303,0
124314,0,124303,0
124315,12,124303,0
124316,13,124315,0
124317,0,124303,0
124318,0,124303,0
124319,6,124303,0
124320,0,124319,0
124321,0,124319,0
124322,0,124319,0
124323,0,124319,0
124324,0,124319,0
124325,0,124319,0
124326,0,124319,0
124327,0,124319,0
124328,0,124319,0
124329,0,124319,0
124330,0,124319,0
124331,13,124319,0
124332,0,124303,0
124333,0,124303,0
124334,0,124303,0
