Nombre_archivo;Namespace;begin_line;end_line;yield_line;
_travis\simple_tests.py;None;None;None;None;
docs\conf.py;None;None;None;None;
lib\align\__init__.py;None;None;None;None; 
lib\align\aligned_face.py;None;None;None;None;
lib\align\alignments.py;Alignments', yield_faces';561;586;586; 
lib\align\detected_face.py;None;None;None;None; 
lib\cli\__init__.py;None;None;None;None;
lib\cli\actions.py;None;None;None;None;
lib\cli\args.py;None;None;None;None;
lib\cli\launcher.py;None;None;None;None; 
lib\gui\__init__.py;None;None;None;None; 
lib\gui\_config.py;None;None;None;None;
lib\gui\command.py;None;None;None;None;
lib\gui\control_helper.py;None;None;None;None; 
lib\gui\custom_widgets.py;None;None;None;None;
lib\gui\display_analysis.py;None;None;None;None;
lib\gui\display_command.py;None;None;None;None;
lib\gui\display_graph.py;None;None;None;None;
lib\gui\display_page.py;DisplayPage', 'subnotebook_get_widgets';139;145;145;
lib\gui\display.py;None;None;None;None;
lib\gui\menu.py;None;None;None;None;
lib\gui\options.py;CliOptions', 'gen_command_options';213;218;218;
lib\gui\options.py;CliOptions', 'gen_cli_arguments';277;297;287,297;
lib\gui\popup_configure.py;None;None;None;None;
lib\gui\popup_session.py;None;None;None;None;
lib\gui\project.py;None;None;None;None;
lib\gui\stats.py;TensorBoardLogs', '_get_latest_live';377;399;389;
lib\gui\utils.py;None;None;None;None;
lib\gui\wrapper.py;None;None;None;None;
lib\model\__init__.py;None;None;None;None;
lib\model\backup_restore.py;None;None;None;None;
lib\model\initializers.py;None;None;None;None;
lib\model\layers.py;None;None;None;None;
lib\model\losses_plaid.py;None;None;None;None;
lib\model\losses_tf.py;None;None;None;None;
lib\model\nn_blocks.py;None;None;None;None;
lib\model\normalization.py;None;None;None;None;
lib\model\session.py;None;None;None;None;
lib\__init__.py;None;None;None;None;
lib\config.py;None;None;None;None;
lib\convert.py;None;None;None;None;
lib\face_filter.py;None;None;None;None;
lib\gpu_stats.py;None;None;None;None;
lib\image.py;read_image_hash_batch';370;413;413;
lib\image.py;ImagesLoader', '_from_video';909;930;929;
lib\image.py;ImagesLoader', '_from_folder';951;971;971;
lib\image.py;ImagesLoader', 'load';973;1004;1002;
lib\image.py;FaceLoader', '_from_folder';1023;1047;1047;
lib\keypress.py;None;None;None;None;
lib\logger.py;None;None;None;None;
lib\multithreading.py;BackgroundGenerator', 'iterator';152;160;160;
lib\plaidml_tools.py;None;None;None;None;
lib\plaidml_utils.py;None;None;None;None;
lib\queue_manager.py;None;None;None;None;
lib\serializer.py;None;None;None;None;
lib\sysinfo.py;None;None;None;None;
lib\training_data.py;TrainingDataGenerator', '_minibatch';189;206;206;
lib\training_data.py;TrainingDataGenerator', '_minibatch', '_img_iter';196;201;201;
lib\utils.py;None;None;None;None;
lib\vgg_face.py;None;None;None;None;
