Nombre_archivo;Namespace;begin_line;end_line;yield_line;
docs\conf.py;None;None;None;None;
pyshorteners\shorteners\__init__.py;None;None;None;None;
pyshorteners\shorteners\adfly.py;None;None;None;None;
pyshorteners\shorteners\bitly.py;None;None;None;None;
pyshorteners\shorteners\chilpit.py;None;None;None;None; 
pyshorteners\shorteners\clckru.py;None;None;None;None; 
pyshorteners\shorteners\cuttly.py;None;None;None;None;
pyshorteners\shorteners\dagd.py;None;None;None;None;
pyshorteners\shorteners\gitio.py;None;None;None;None;
pyshorteners\shorteners\isgd.py;None;None;None;None; 
pyshorteners\shorteners\nullpointer.py;None;None;None;None; 
pyshorteners\shorteners\osdb.py;None;None;None;None;
pyshorteners\shorteners\owly.py;None;None;None;None;
pyshorteners\shorteners\post.py;None;None;None;None; 
pyshorteners\shorteners\qpsru.py;None;None;None;None;
pyshorteners\shorteners\shortcm.py;None;None;None;None;
pyshorteners\shorteners\tinycc.py;None;None;None;None;
pyshorteners\shorteners\tinyurl.py;None;None;None;None;
pyshorteners\__init__.py;None;None;None;None;
pyshorteners\base.py;None;None;None;None;
pyshorteners\exceptions.py;None;None;None;None;
tests\__init__.py;None;None;None;None;
tests\test_adfly.py;None;None;None;None;
tests\test_base.py;None;None;None;None;
tests\test_bitly.py;None;None;None;None;
tests\test_chilpit.py;None;None;None;None;
tests\test_clckru.py;None;None;None;None;
tests\test_cuttly.py;None;None;None;None;
tests\test_dagd.py;None;None;None;None;
tests\test_isgd.py;None;None;None;None;
tests\test_nullpointer.py;None;None;None;None;
tests\test_osdb.py;None;None;None;None;
tests\test_owly.py;None;None;None;None;
tests\test_post.py;None;None;None;None;
tests\test_qpsru.py;None;None;None;None;
tests\test_shortcm.py;None;None;None;None;
tests\test_tinycc.py;None;None;None;None;
tests\test_tinyurl.py;None;None;None;None;
example.py;None;None;None;None;
setup.py;None;None;None;None;
